brand,model,year,mileage,drivetrain,msrp,current_value
Toyota,RAV4 XLE,2016,78442,RWD,34069,18353.0
Toyota,Highlander XLE,2023,26113,FWD,33444,29123.0
Toyota,RAV4 XLE,2016,36398,FWD,34069,16942.0
Toyota,RAV4 XLE,2021,93863,RWD,34069,28209.0
Toyota,RAV4 XLE,2017,10932,FWD,34069,19132.0
Toyota,Camry SE,2023,64845,FWD,33585,24313.0
Toyota,Corolla LE,2009,45871,FWD,33503,6357.0
Toyota,RAV4 XLE,2020,36258,AWD,34069,22082.0
Toyota,Camry SE,2016,50758,RWD,33585,14993.0
Toyota,Camry SE,2010,15710,FWD,33585,8012.0
Toyota,RAV4 XLE,2022,104271,AWD,34069,24707.0
Toyota,RAV4 XLE,2007,17347,AWD,34069,3095.0
Toyota,Corolla LE,2013,16361,AWD,33503,13725.0
Toyota,Corolla LE,2018,73233,RWD,33503,23906.0
Toyota,Highlander XLE,2013,96965,FWD,33444,10997.0
Toyota,Highlander XLE,2013,8580,RWD,33444,14687.0
Toyota,Highlander XLE,2008,20842,AWD,33444,4035.0
Toyota,Camry SE,2013,0,FWD,33585,11555.0
Toyota,Camry SE,2010,96093,FWD,33585,8796.0
Toyota,Highlander XLE,2019,147607,FWD,33444,20114.0
Toyota,RAV4 XLE,2010,55950,FWD,34069,6830.0
Toyota,Highlander XLE,2014,41969,RWD,33444,12751.0
Toyota,Highlander XLE,2018,14585,RWD,33444,19588.0
Toyota,RAV4 XLE,2015,36316,RWD,34069,15904.0
Toyota,Highlander XLE,2009,48417,RWD,33444,6058.0
Toyota,Highlander XLE,2017,79799,AWD,33444,16778.0
Toyota,Camry SE,2012,45776,RWD,33585,11452.0
Toyota,Camry SE,2019,64754,RWD,33585,25418.0
Toyota,Highlander XLE,2011,74519,FWD,33444,8884.0
Toyota,Camry SE,2016,37484,FWD,33585,15383.0
Toyota,RAV4 XLE,2011,95621,FWD,34069,8220.0
Toyota,Corolla LE,2021,55925,FWD,33503,23356.0
Toyota,RAV4 XLE,2014,0,AWD,34069,14848.0
Toyota,RAV4 XLE,2022,84849,RWD,34069,30969.0
Toyota,Camry SE,2012,103297,AWD,33585,9582.0
Toyota,RAV4 XLE,2013,49506,RWD,34069,14118.0
Toyota,RAV4 XLE,2014,80290,AWD,34069,14735.0
Toyota,Highlander XLE,2023,55592,AWD,33444,30599.0
Toyota,RAV4 XLE,2007,77247,FWD,34069,3093.0
Toyota,Corolla LE,2012,2510,AWD,33503,11120.0
Toyota,Camry SE,2007,20995,FWD,33585,2696.0
Toyota,Highlander XLE,2006,37129,RWD,33444,1458.0
Toyota,Highlander XLE,2019,90902,FWD,33444,24869.0
Toyota,Corolla LE,2021,39615,RWD,33503,22961.0
Toyota,Camry SE,2009,81172,AWD,33585,6182.0
Toyota,RAV4 XLE,2023,73315,AWD,34069,31765.0
Toyota,Corolla LE,2010,87716,AWD,33503,9005.0
Toyota,Corolla LE,2016,59114,RWD,33503,16019.0
Toyota,RAV4 XLE,2018,68688,FWD,34069,18663.0
Toyota,Camry SE,2020,99236,AWD,33585,27038.0
Toyota,Highlander XLE,2021,58001,AWD,33444,26598.0
Toyota,Highlander XLE,2018,91888,AWD,33444,19655.0
Toyota,Highlander XLE,2012,105051,RWD,33444,10505.0
Toyota,Corolla LE,2020,38869,RWD,33503,23650.0
Toyota,Corolla LE,2009,79804,FWD,33503,6593.0
Toyota,Corolla LE,2019,76895,AWD,33503,19746.0
Toyota,Corolla LE,2017,71919,RWD,33503,17036.0
Toyota,Corolla LE,2005,68114,RWD,33503,1000.0
Toyota,RAV4 XLE,2010,86290,FWD,34069,7603.0
Toyota,Camry SE,2019,32356,AWD,33585,20046.0
Toyota,Corolla LE,2020,90128,FWD,33503,24969.0
Toyota,Corolla LE,2009,9551,RWD,33503,6689.0
Toyota,Highlander XLE,2016,35064,FWD,33444,15312.0
Toyota,Corolla LE,2017,73904,FWD,33503,17359.0
Toyota,Corolla LE,2005,98009,AWD,33503,1000.0
Toyota,Camry SE,2007,79471,RWD,33585,3175.0
Toyota,Camry SE,2021,47484,RWD,33585,29446.0
Toyota,Camry SE,2006,19727,FWD,33585,1671.0
Toyota,Highlander XLE,2021,44517,AWD,33444,27261.0
Toyota,Corolla LE,2017,51659,AWD,33503,18100.0
Toyota,Camry SE,2017,0,RWD,33585,17561.0
Toyota,Corolla LE,2023,79446,RWD,33503,24469.0
Toyota,Corolla LE,2018,97689,FWD,33503,21826.0
Toyota,RAV4 XLE,2018,19990,RWD,34069,19358.0
Toyota,Corolla LE,2007,72148,FWD,33503,2856.0
Toyota,Camry SE,2009,78258,FWD,33585,5981.0
Toyota,Camry SE,2010,65647,AWD,33585,8660.0
Toyota,RAV4 XLE,2009,58425,AWD,34069,6417.0
Toyota,Highlander XLE,2020,94678,FWD,33444,26929.0
Toyota,Camry SE,2008,99421,RWD,33585,5250.0
Toyota,Camry SE,2007,68440,FWD,33585,2951.0
Toyota,Camry SE,2019,103545,FWD,33585,24490.0
Toyota,Highlander XLE,2022,76643,RWD,33444,29166.0
Toyota,Camry SE,2023,62425,FWD,33585,31709.0
Toyota,Corolla LE,2012,47376,AWD,33503,10815.0
Toyota,Camry SE,2017,83546,RWD,33585,21011.0
Toyota,Corolla LE,2019,74084,AWD,33503,21752.0
Toyota,RAV4 XLE,2017,92209,AWD,34069,20665.0
Toyota,Corolla LE,2009,101864,AWD,33503,5448.0
Toyota,RAV4 XLE,2010,38570,RWD,34069,7744.0
Toyota,Highlander XLE,2015,42540,RWD,33444,15586.0
Toyota,Corolla LE,2006,62580,AWD,33503,1830.0
Toyota,Camry SE,2007,133054,AWD,33585,3477.0
Toyota,RAV4 XLE,2023,70039,RWD,34069,31162.0
Toyota,Highlander XLE,2023,30140,FWD,33444,24684.0
Toyota,Corolla LE,2019,14391,AWD,33503,25072.0
Toyota,Corolla LE,2010,21639,AWD,33503,8275.0
Toyota,RAV4 XLE,2017,42004,RWD,34069,19675.0
Toyota,Corolla LE,2011,46341,FWD,33503,8130.0
Toyota,Camry SE,2010,30179,AWD,33585,7453.0
Toyota,Corolla LE,2007,27244,AWD,33503,3328.0
Toyota,Corolla LE,2010,53452,AWD,33503,7373.0
Toyota,Camry SE,2015,31816,FWD,33585,14129.0
Toyota,Highlander XLE,2022,53573,AWD,33444,28456.0
Toyota,Camry SE,2020,86779,AWD,33585,20203.0
Toyota,Camry SE,2007,63720,RWD,33585,3558.0
Toyota,RAV4 XLE,2018,105297,RWD,34069,21299.0
Toyota,Camry SE,2023,66395,RWD,33585,25652.0
Toyota,Highlander XLE,2023,22301,RWD,33444,32369.0
Toyota,Highlander XLE,2022,0,RWD,33444,26279.0
Toyota,RAV4 XLE,2016,92500,RWD,34069,15409.0
Toyota,Camry SE,2019,128290,FWD,33585,18957.0
Toyota,Corolla LE,2011,63547,AWD,33503,9155.0
Toyota,Highlander XLE,2023,38871,FWD,33444,25358.0
Toyota,RAV4 XLE,2019,66309,AWD,34069,19690.0
Toyota,Highlander XLE,2022,88281,FWD,33444,23330.0
Toyota,Highlander XLE,2019,44990,RWD,33444,25692.0
Toyota,Camry SE,2011,66404,FWD,33585,8145.0
Toyota,Corolla LE,2022,72059,RWD,33503,30794.0
Toyota,Corolla LE,2006,35825,FWD,33503,1670.0
Toyota,RAV4 XLE,2019,70723,FWD,34069,21842.0
Toyota,Camry SE,2018,61984,FWD,33585,21405.0
Toyota,Camry SE,2009,75853,AWD,33585,7368.0
Toyota,Highlander XLE,2020,0,FWD,33444,27040.0
Toyota,Corolla LE,2005,82925,FWD,33503,1000.0
Toyota,Corolla LE,2020,71370,FWD,33503,26213.0
Toyota,Corolla LE,2023,73966,AWD,33503,28788.0
Toyota,Camry SE,2009,0,FWD,33585,6998.0
Toyota,Highlander XLE,2015,41887,RWD,33444,13670.0
Toyota,Highlander XLE,2009,62885,AWD,33444,5372.0
Toyota,Camry SE,2020,82131,RWD,33585,22669.0
Toyota,Highlander XLE,2014,46573,RWD,33444,14437.0
Toyota,Highlander XLE,2018,52040,AWD,33444,22318.0
Toyota,Corolla LE,2014,0,AWD,33503,16319.0
Toyota,Corolla LE,2023,37569,AWD,33503,30130.0
Toyota,Highlander XLE,2022,31516,RWD,33444,24487.0
Toyota,RAV4 XLE,2014,41732,RWD,34069,13113.0
Toyota,Corolla LE,2021,67064,RWD,33503,26834.0
Toyota,Corolla LE,2006,41298,FWD,33503,1353.0
Toyota,Corolla LE,2023,20235,AWD,33503,29373.0
Toyota,Camry SE,2007,68111,AWD,33585,3159.0
Toyota,Corolla LE,2019,40894,RWD,33503,24269.0
Toyota,Highlander XLE,2010,89558,AWD,33444,7659.0
Toyota,RAV4 XLE,2009,72933,FWD,34069,6713.0
Toyota,Camry SE,2010,32985,FWD,33585,8333.0
Toyota,RAV4 XLE,2012,62525,FWD,34069,10742.0
Toyota,Corolla LE,2018,104529,FWD,33503,23420.0
Toyota,Camry SE,2019,21873,RWD,33585,20757.0
Toyota,RAV4 XLE,2005,42501,AWD,34069,1000.0
Toyota,Camry SE,2020,54642,FWD,33585,23793.0
Toyota,Camry SE,2018,48486,AWD,33585,19605.0
Toyota,Highlander XLE,2009,71842,FWD,33444,6077.0
Toyota,RAV4 XLE,2009,45804,FWD,34069,5467.0
Toyota,Highlander XLE,2013,27391,RWD,33444,11554.0
Toyota,Highlander XLE,2011,56981,FWD,33444,9079.0
Toyota,Highlander XLE,2018,55036,AWD,33444,18826.0
Toyota,RAV4 XLE,2018,79680,AWD,34069,23174.0
Toyota,Highlander XLE,2020,80693,RWD,33444,27246.0
Toyota,Highlander XLE,2005,45659,FWD,33444,1000.0
Toyota,RAV4 XLE,2010,25372,AWD,34069,8607.0
Toyota,Corolla LE,2008,25028,AWD,33503,5346.0
Toyota,RAV4 XLE,2022,79808,AWD,34069,29320.0
Toyota,RAV4 XLE,2009,93542,AWD,34069,6179.0
Toyota,Highlander XLE,2022,42846,RWD,33444,28544.0
Toyota,RAV4 XLE,2022,45612,FWD,34069,25757.0
Toyota,Corolla LE,2022,70335,FWD,33503,27212.0
Toyota,Corolla LE,2019,44651,RWD,33503,20349.0
Toyota,RAV4 XLE,2005,82102,FWD,34069,1000.0
Toyota,Camry SE,2016,57225,RWD,33585,16229.0
Toyota,Corolla LE,2009,112004,RWD,33503,7100.0
Toyota,Camry SE,2012,102510,FWD,33585,9854.0
Toyota,Camry SE,2021,40288,FWD,33585,26012.0
Toyota,Highlander XLE,2012,14219,FWD,33444,11647.0
Toyota,Corolla LE,2023,41706,FWD,33503,32159.0
Toyota,Highlander XLE,2008,15607,AWD,33444,4337.0
Toyota,Camry SE,2006,54729,AWD,33585,1607.0
Toyota,Highlander XLE,2013,126187,RWD,33444,13077.0
Toyota,Camry SE,2017,67149,RWD,33585,18521.0
Toyota,Highlander XLE,2021,40615,AWD,33444,25450.0
Toyota,Corolla LE,2018,64337,RWD,33503,22248.0
Toyota,Corolla LE,2009,64019,AWD,33503,7171.0
Toyota,Highlander XLE,2018,78479,FWD,33444,17563.0
Toyota,Camry SE,2017,51607,AWD,33585,18277.0
Toyota,Corolla LE,2008,18198,FWD,33503,4927.0
Toyota,Highlander XLE,2018,94397,AWD,33444,20014.0
Toyota,Camry SE,2011,77729,FWD,33585,10811.0
Toyota,RAV4 XLE,2015,67779,RWD,34069,16583.0
Toyota,Highlander XLE,2014,54329,RWD,33444,13268.0
Toyota,Highlander XLE,2021,44968,RWD,33444,24365.0
Toyota,Highlander XLE,2006,63999,RWD,33444,1711.0
Toyota,RAV4 XLE,2020,63271,FWD,34069,22422.0
Toyota,Corolla LE,2016,61491,FWD,33503,19728.0
Toyota,RAV4 XLE,2006,18996,RWD,34069,1774.0
Toyota,Highlander XLE,2019,35937,FWD,33444,20396.0
Toyota,Corolla LE,2022,42580,FWD,33503,26106.0
Toyota,RAV4 XLE,2006,43864,RWD,34069,1672.0
Toyota,RAV4 XLE,2007,100265,FWD,34069,3532.0
Toyota,Corolla LE,2010,100171,RWD,33503,7568.0
Toyota,Camry SE,2013,81100,RWD,33585,11064.0
Toyota,Corolla LE,2023,16085,RWD,33503,31506.0
Toyota,Camry SE,2023,82526,AWD,33585,31400.0
Toyota,Corolla LE,2020,116792,AWD,33503,21299.0
Toyota,Corolla LE,2022,1258,FWD,33503,28164.0
Toyota,RAV4 XLE,2021,52515,AWD,34069,25849.0
Toyota,Highlander XLE,2008,100020,RWD,33444,5242.0
Toyota,RAV4 XLE,2008,94229,AWD,34069,4952.0
Toyota,Corolla LE,2005,61099,AWD,33503,1000.0
Toyota,Camry SE,2018,49748,FWD,33585,22834.0
Toyota,RAV4 XLE,2009,61462,FWD,34069,6883.0
Toyota,RAV4 XLE,2023,59273,FWD,34069,30847.0
Toyota,RAV4 XLE,2023,30573,FWD,34069,29622.0
Toyota,RAV4 XLE,2014,43095,FWD,34069,13051.0
Toyota,RAV4 XLE,2007,52297,AWD,34069,3068.0
Toyota,Corolla LE,2015,37506,AWD,33503,13546.0
Toyota,Camry SE,2013,56483,AWD,33585,14706.0
Toyota,Highlander XLE,2014,59179,RWD,33444,15714.0
Toyota,Camry SE,2011,34881,RWD,33585,10480.0
Toyota,Camry SE,2012,59516,RWD,33585,9461.0
Toyota,RAV4 XLE,2018,63462,AWD,34069,21682.0
Toyota,Camry SE,2011,129174,RWD,33585,11004.0
Toyota,Camry SE,2012,94453,FWD,33585,12225.0
Toyota,Corolla LE,2016,51643,AWD,33503,15820.0
Toyota,Camry SE,2020,62682,RWD,33585,21353.0
Toyota,Camry SE,2010,67418,FWD,33585,9027.0
Toyota,Corolla LE,2010,31665,RWD,33503,7133.0
Toyota,Corolla LE,2021,108176,RWD,33503,24076.0
Toyota,Corolla LE,2021,118676,AWD,33503,29171.0
Toyota,Corolla LE,2017,41574,FWD,33503,19605.0
Toyota,RAV4 XLE,2018,0,RWD,34069,23343.0
Toyota,Corolla LE,2007,92488,RWD,33503,2770.0
Toyota,Camry SE,2015,73587,AWD,33585,16827.0
Toyota,Corolla LE,2017,90939,RWD,33503,21471.0
Toyota,Highlander XLE,2015,48178,FWD,33444,14260.0
Toyota,Corolla LE,2012,22050,RWD,33503,10070.0
Toyota,Camry SE,2011,56835,RWD,33585,9383.0
Toyota,Camry SE,2011,70060,AWD,33585,9105.0
Toyota,Corolla LE,2022,75799,FWD,33503,27308.0
Toyota,Camry SE,2005,39852,AWD,33585,1000.0
Toyota,Highlander XLE,2014,81066,AWD,33444,14786.0
Toyota,Camry SE,2023,43592,FWD,33585,24545.0
Toyota,Highlander XLE,2009,69595,AWD,33444,6018.0
Toyota,Camry SE,2013,23933,FWD,33585,14106.0
Toyota,Camry SE,2018,54051,RWD,33585,22918.0
Toyota,Highlander XLE,2012,109196,RWD,33444,11363.0
Toyota,RAV4 XLE,2011,70771,FWD,34069,8275.0
Toyota,Camry SE,2015,80623,AWD,33585,15919.0
Toyota,Corolla LE,2019,112012,AWD,33503,21215.0
Toyota,Corolla LE,2014,66322,AWD,33503,14054.0
Toyota,Highlander XLE,2009,117405,AWD,33444,6034.0
Toyota,Highlander XLE,2019,15532,AWD,33444,23456.0
Toyota,Highlander XLE,2015,92290,RWD,33444,16086.0
Toyota,Camry SE,2019,69662,FWD,33585,24368.0
Toyota,Highlander XLE,2009,44789,AWD,33444,6677.0
Toyota,Corolla LE,2016,21978,FWD,33503,18917.0
Toyota,Corolla LE,2013,47420,FWD,33503,13633.0
Toyota,Highlander XLE,2011,92866,FWD,33444,10270.0
Toyota,Highlander XLE,2016,61585,AWD,33444,18200.0
Toyota,Corolla LE,2022,68116,RWD,33503,23379.0
Toyota,RAV4 XLE,2010,87175,RWD,34069,7553.0
Toyota,RAV4 XLE,2015,74513,RWD,34069,15826.0
Toyota,Corolla LE,2021,24649,RWD,33503,25758.0
Toyota,Camry SE,2022,54661,AWD,33585,24525.0
Toyota,Camry SE,2005,90755,AWD,33585,1000.0
Toyota,Camry SE,2022,34428,FWD,33585,24461.0
Toyota,Highlander XLE,2012,0,AWD,33444,12278.0
Toyota,RAV4 XLE,2008,15961,RWD,34069,5293.0
Toyota,RAV4 XLE,2019,49294,RWD,34069,25061.0
Toyota,Camry SE,2020,71242,AWD,33585,24669.0
Toyota,Corolla LE,2007,40204,FWD,33503,3423.0
Toyota,Corolla LE,2020,49001,FWD,33503,24317.0
Toyota,Highlander XLE,2022,54035,AWD,33444,25635.0
Toyota,Camry SE,2019,0,FWD,33585,19298.0
Toyota,Camry SE,2022,14547,FWD,33585,29716.0
Toyota,Highlander XLE,2016,43629,AWD,33444,17584.0
Toyota,Highlander XLE,2021,19351,FWD,33444,25386.0
Toyota,Camry SE,2012,15239,AWD,33585,10146.0
Toyota,Camry SE,2019,61468,RWD,33585,24483.0
Toyota,Highlander XLE,2015,71553,AWD,33444,13586.0
Toyota,Highlander XLE,2012,55644,AWD,33444,10142.0
Toyota,RAV4 XLE,2013,0,FWD,34069,11702.0
Toyota,RAV4 XLE,2022,16701,AWD,34069,25567.0
Toyota,Highlander XLE,2007,35444,FWD,33444,3160.0
Toyota,Highlander XLE,2020,67144,AWD,33444,25309.0
Toyota,Corolla LE,2021,63011,FWD,33503,29190.0
Toyota,Corolla LE,2020,35323,FWD,33503,22215.0
Toyota,RAV4 XLE,2022,23421,RWD,34069,29396.0
Toyota,Corolla LE,2022,79348,RWD,33503,25641.0
Toyota,RAV4 XLE,2005,62165,RWD,34069,1000.0
Toyota,Corolla LE,2017,72312,AWD,33503,21625.0
Toyota,RAV4 XLE,2020,47887,RWD,34069,21363.0
Toyota,RAV4 XLE,2005,36523,RWD,34069,1000.0
Toyota,Camry SE,2009,0,FWD,33585,6225.0
Toyota,Highlander XLE,2018,68256,AWD,33444,20301.0
Toyota,RAV4 XLE,2013,76139,FWD,34069,13109.0
Toyota,Highlander XLE,2021,39652,FWD,33444,21497.0
Toyota,Camry SE,2023,41534,RWD,33585,32625.0
Toyota,Highlander XLE,2022,46620,RWD,33444,23716.0
Toyota,Camry SE,2007,64108,AWD,33585,3361.0
Toyota,RAV4 XLE,2009,40316,AWD,34069,6417.0
Toyota,Camry SE,2011,43612,FWD,33585,10266.0
Toyota,Highlander XLE,2017,56008,RWD,33444,20124.0
Toyota,Corolla LE,2015,121048,AWD,33503,15522.0
Toyota,RAV4 XLE,2006,0,AWD,34069,1856.0
Toyota,Highlander XLE,2006,50095,AWD,33444,1703.0
Toyota,RAV4 XLE,2011,48834,AWD,34069,8483.0
Toyota,Highlander XLE,2015,9020,AWD,33444,15216.0
Toyota,RAV4 XLE,2005,63913,AWD,34069,1000.0
Toyota,RAV4 XLE,2012,108179,AWD,34069,10527.0
Toyota,Camry SE,2009,37490,AWD,33585,5839.0
Toyota,RAV4 XLE,2023,54970,RWD,34069,31803.0
Toyota,Highlander XLE,2014,69725,RWD,33444,14467.0
Toyota,Highlander XLE,2010,71255,RWD,33444,7061.0
Toyota,Corolla LE,2022,90277,AWD,33503,26034.0
Toyota,Highlander XLE,2021,16876,FWD,33444,22188.0
Toyota,RAV4 XLE,2007,44786,RWD,34069,2770.0
Toyota,RAV4 XLE,2019,62081,FWD,34069,25776.0
Toyota,Corolla LE,2012,57583,AWD,33503,12079.0
Toyota,Corolla LE,2010,30219,RWD,33503,9174.0
Toyota,RAV4 XLE,2008,17860,RWD,34069,4892.0
Toyota,Corolla LE,2018,26648,FWD,33503,23809.0
Toyota,Corolla LE,2010,60334,AWD,33503,7607.0
Toyota,Camry SE,2007,24758,AWD,33585,2943.0
Toyota,RAV4 XLE,2017,114009,AWD,34069,17446.0
Toyota,Corolla LE,2012,75855,AWD,33503,9680.0
Toyota,RAV4 XLE,2012,75237,FWD,34069,11967.0
Toyota,Camry SE,2021,33317,AWD,33585,25657.0
Toyota,RAV4 XLE,2020,80180,AWD,34069,23471.0
Toyota,Corolla LE,2011,72549,AWD,33503,8160.0
Toyota,Highlander XLE,2020,2452,AWD,33444,23390.0
Toyota,Highlander XLE,2022,32956,RWD,33444,29085.0
Toyota,Highlander XLE,2021,76805,AWD,33444,27640.0
Toyota,Corolla LE,2022,34527,AWD,33503,28178.0
Toyota,Corolla LE,2023,30731,RWD,33503,28774.0
Toyota,Corolla LE,2014,59666,FWD,33503,15703.0
Toyota,RAV4 XLE,2014,83284,FWD,34069,15626.0
Toyota,RAV4 XLE,2023,37773,RWD,34069,29942.0
Toyota,Corolla LE,2020,87454,AWD,33503,20180.0
Toyota,RAV4 XLE,2016,70380,AWD,34069,20206.0
Toyota,Camry SE,2018,70586,FWD,33585,19643.0
Toyota,RAV4 XLE,2008,37996,AWD,34069,4659.0
Toyota,Corolla LE,2020,33427,FWD,33503,23666.0
Toyota,Camry SE,2023,117325,FWD,33585,28267.0
Toyota,Corolla LE,2012,44607,FWD,33503,11994.0
Toyota,Corolla LE,2023,56872,AWD,33503,26454.0
Toyota,Corolla LE,2009,79268,FWD,33503,5808.0
Toyota,Corolla LE,2010,66505,AWD,33503,9112.0
Toyota,Camry SE,2006,72116,AWD,33585,1350.0
Toyota,Corolla LE,2006,84699,AWD,33503,1522.0
Toyota,Camry SE,2016,93966,RWD,33585,16772.0
Toyota,RAV4 XLE,2011,112750,FWD,34069,9809.0
Toyota,Corolla LE,2022,87629,RWD,33503,25652.0
Toyota,RAV4 XLE,2015,38103,AWD,34069,17945.0
Toyota,Corolla LE,2019,111745,AWD,33503,18889.0
Toyota,Corolla LE,2022,104364,FWD,33503,30273.0
Toyota,Camry SE,2013,115065,RWD,33585,14564.0
Toyota,Corolla LE,2019,24451,RWD,33503,19836.0
Toyota,Highlander XLE,2019,76566,AWD,33444,21689.0
Toyota,Highlander XLE,2017,89178,RWD,33444,18560.0
Toyota,Corolla LE,2016,63957,FWD,33503,16043.0
Toyota,Corolla LE,2012,64303,AWD,33503,12561.0
Toyota,Camry SE,2022,76917,RWD,33585,25665.0
Toyota,RAV4 XLE,2013,36998,RWD,34069,14056.0
Toyota,Camry SE,2020,95672,AWD,33585,21681.0
Toyota,Highlander XLE,2005,44569,RWD,33444,1000.0
Toyota,Highlander XLE,2006,59775,FWD,33444,1454.0
Toyota,Camry SE,2020,64559,RWD,33585,24797.0
Toyota,Camry SE,2005,28951,FWD,33585,1000.0
Toyota,Highlander XLE,2006,33789,AWD,33444,1540.0
Toyota,Highlander XLE,2007,83593,FWD,33444,2793.0
Toyota,Highlander XLE,2007,68895,FWD,33444,3526.0
Toyota,Camry SE,2008,85821,AWD,33585,4337.0
Toyota,Highlander XLE,2007,71184,FWD,33444,2928.0
Toyota,Highlander XLE,2008,99855,RWD,33444,5392.0
Toyota,RAV4 XLE,2008,60789,AWD,34069,5223.0
Toyota,Corolla LE,2009,91964,AWD,33503,6424.0
Toyota,Highlander XLE,2015,2238,RWD,33444,15229.0
Toyota,Highlander XLE,2017,71330,FWD,33444,16983.0
Toyota,Highlander XLE,2014,106588,RWD,33444,16022.0
Toyota,Camry SE,2006,33963,FWD,33585,1415.0
Toyota,RAV4 XLE,2014,108751,RWD,34069,15384.0
Toyota,RAV4 XLE,2016,43371,FWD,34069,15992.0
Toyota,RAV4 XLE,2005,44775,RWD,34069,1000.0
Toyota,Camry SE,2018,45316,FWD,33585,20379.0
Toyota,Highlander XLE,2007,732,AWD,33444,3060.0
Toyota,Corolla LE,2019,57911,RWD,33503,19776.0
Toyota,Highlander XLE,2019,84080,RWD,33444,23887.0
Toyota,RAV4 XLE,2017,75958,RWD,34069,17202.0
Toyota,RAV4 XLE,2020,67245,AWD,34069,22764.0
Toyota,RAV4 XLE,2020,46702,AWD,34069,22281.0
Toyota,Camry SE,2010,22094,RWD,33585,7771.0
Toyota,Corolla LE,2016,10951,FWD,33503,16587.0
Toyota,Corolla LE,2020,39068,AWD,33503,23583.0
Toyota,RAV4 XLE,2009,61846,FWD,34069,5490.0
Toyota,Corolla LE,2010,103380,FWD,33503,8545.0
Toyota,Camry SE,2016,54382,AWD,33585,18842.0
Toyota,Camry SE,2019,4550,AWD,33585,21802.0
Toyota,RAV4 XLE,2005,61976,RWD,34069,1000.0
Toyota,Camry SE,2022,63133,FWD,33585,24409.0
Toyota,Corolla LE,2014,112590,FWD,33503,14683.0
Toyota,Corolla LE,2019,42509,RWD,33503,22616.0
Toyota,RAV4 XLE,2013,44253,FWD,34069,13969.0
Toyota,Corolla LE,2016,0,RWD,33503,20161.0
Toyota,Highlander XLE,2006,96643,RWD,33444,1739.0
Toyota,Corolla LE,2014,20040,RWD,33503,15294.0
Toyota,Corolla LE,2014,101513,FWD,33503,13444.0
Toyota,Corolla LE,2007,68593,AWD,33503,3366.0
Toyota,Highlander XLE,2006,43952,RWD,33444,1545.0
Toyota,RAV4 XLE,2012,65085,RWD,34069,9650.0
Toyota,Camry SE,2011,51678,FWD,33585,9624.0
Toyota,RAV4 XLE,2010,98881,RWD,34069,9313.0
Toyota,Camry SE,2022,67732,FWD,33585,30335.0
Toyota,Camry SE,2018,64804,FWD,33585,20678.0
Toyota,Corolla LE,2011,38348,FWD,33503,9221.0
Toyota,Highlander XLE,2015,51264,RWD,33444,18013.0
Toyota,Highlander XLE,2022,75684,FWD,33444,27570.0
Toyota,Highlander XLE,2011,76718,RWD,33444,10393.0
Toyota,Highlander XLE,2021,87650,AWD,33444,21917.0
Toyota,Corolla LE,2010,64529,AWD,33503,7818.0
Toyota,Camry SE,2023,120826,RWD,33585,29052.0
Toyota,Corolla LE,2020,116871,RWD,33503,26707.0
Toyota,Camry SE,2014,31814,FWD,33585,12154.0
Toyota,Camry SE,2008,124825,RWD,33585,4351.0
Toyota,Highlander XLE,2005,69297,RWD,33444,1000.0
Toyota,Camry SE,2010,66726,AWD,33585,9222.0
Toyota,Highlander XLE,2023,76453,AWD,33444,29329.0
Toyota,RAV4 XLE,2012,87510,FWD,34069,10254.0
Toyota,Corolla LE,2017,73417,FWD,33503,16111.0
Toyota,Highlander XLE,2009,23431,FWD,33444,5678.0
Toyota,Corolla LE,2020,40366,RWD,33503,23727.0
Toyota,Corolla LE,2014,88717,AWD,33503,15703.0
Toyota,RAV4 XLE,2019,62533,RWD,34069,19867.0
Toyota,Highlander XLE,2012,119459,FWD,33444,11995.0
Toyota,Camry SE,2023,56364,FWD,33585,24237.0
Toyota,Highlander XLE,2018,99959,FWD,33444,20336.0
Toyota,Corolla LE,2018,61150,FWD,33503,20720.0
Toyota,Highlander XLE,2021,93372,AWD,33444,24111.0
Toyota,Camry SE,2007,52921,AWD,33585,3246.0
Toyota,RAV4 XLE,2010,63227,RWD,34069,7525.0
Toyota,Camry SE,2008,24672,FWD,33585,5351.0
Toyota,RAV4 XLE,2011,71266,AWD,34069,8267.0
Toyota,Corolla LE,2016,108534,FWD,33503,19025.0
Toyota,Camry SE,2010,17979,RWD,33585,8869.0
Toyota,Camry SE,2022,55579,FWD,33585,28678.0
Toyota,Camry SE,2020,57146,AWD,33585,21595.0
Toyota,Corolla LE,2023,894,RWD,33503,24597.0
Toyota,RAV4 XLE,2005,100084,AWD,34069,1000.0
Toyota,Highlander XLE,2006,78452,FWD,33444,1793.0
Toyota,Camry SE,2006,0,AWD,33585,1838.0
Toyota,Highlander XLE,2023,41828,RWD,33444,27815.0
Toyota,Camry SE,2016,46692,FWD,33585,18251.0
Toyota,RAV4 XLE,2009,63572,RWD,34069,5568.0
Toyota,Camry SE,2008,39393,FWD,33585,4888.0
Toyota,Camry SE,2019,4016,AWD,33585,25628.0
Toyota,Corolla LE,2020,29213,AWD,33503,27055.0
Toyota,Camry SE,2006,143158,AWD,33585,1764.0
Toyota,RAV4 XLE,2012,51393,RWD,34069,10508.0
Toyota,Corolla LE,2022,48723,RWD,33503,29389.0
Toyota,RAV4 XLE,2009,38638,FWD,34069,7203.0
Toyota,Highlander XLE,2018,129800,RWD,33444,17636.0
